NAME,Price (in INR),Discount,Description,Original Price Claimed(in INR)
UZEE,262,73% off,Printed Men Round Neck Blue T-Shirt,970.3703703703703
Highlander,258,53% off,Solid Men Round Neck Black T-Shirt,548.936170212766
Ducati,649,50% off,Solid Men Round or Crew Black T-Shirt,1298.0
UZEE,247,75% off,Graphic Print Men Round or Crew Grey T-Shirt,988.0
Highlander,328,53% off,"Printed Men Round or Crew Black, Grey T-Shirt",697.8723404255319
FANNZILA,135,77% off,Graphic Print Men & Women Round Neck White T-Shirt,586.9565217391304
SCATCHITE,509,74% off,Checkered Men Round or Crew Black T-Shirt,1957.6923076923076
Duke,796,20% off,Printed Men Round Neck Multicolor T-Shirt,995.0
Dillinger,296,67% off,Striped Men Round Neck Grey T-Shirt,896.969696969697
Metronaut,361,72% off,"Solid Men Henley Black, Grey T-Shirt",1289.2857142857142
Kalt,349,46% off,Striped Men Round Neck Black T-Shirt,646.2962962962963
Rodid,371,69% off,Checkered Men Boat Neck Green T-Shirt,1196.774193548387
Jangoboy,499,50% off,Solid Men Shawl Neck Black T-Shirt,998.0
GHPC,368,63% off,Striped Men Round or Crew Dark Blue T-Shirt,994.5945945945946
Duke,556,30% off,"Printed Men Round Neck Grey, Orange T-Shirt",794.2857142857143
Young Trendz,299,64% off,Printed Men Round or Crew Light Blue T-Shirt,830.5555555555555
Metronaut,281,76% off,Athleisure Solid Men V-neck Grey T-Shirt,1170.8333333333333
Metronaut,454,65% off,Military Camouflage Men Polo Neck Dark Green T-Shirt,1297.142857142857
Wildcraft,539,40% off,Printed Men Round Neck Green T-Shirt,898.3333333333334
FANNZILA,219,72% off,Printed Men Round Neck Multicolor T-Shirt,782.1428571428571
Rezalia,249,75% off,Striped Men Round Neck Maroon T-Shirt,996.0
Elepants,260,78% off,"Color Block Men Round Neck Black, White T-Shirt",1181.8181818181818
Try This,359,60% off,Self Design Men Asymmetric Black T-Shirt,897.5
Avni's,139,76% off,Printed Men Round Neck Reversible Multicolor T-Shirt,579.1666666666666
Rezalia,249,75% off,Striped Men Round Neck Maroon T-Shirt,996.0
UZEE,234,76% off,Printed Men Round Neck Yellow T-Shirt,975.0
WRODSS,273,72% off,"Printed, Striped Men Round Neck Black T-Shirt",975.0
GHPC,399,60% off,Color block Men Hooded Blue T-Shirt,997.5
Wearza,288,71% off,"Color Block Men Round Neck Red, White, Blue T-Shirt",993.1034482758621
COBIO MAN,299,70% off,Graphic Print Men Round or Crew White T-Shirt,996.6666666666666
Try This,397,60% off,Solid Men Round Neck Multicolor T-Shirt,992.5
Duke,556,30% off,"Printed Men Round Neck Grey, Orange T-Shirt",794.2857142857143
SHAPPHR,269,77% off,Color Block Men Round Neck Blue T-Shirt,1169.5652173913043
Fabstone Collection,274,54% off,Solid Men Hooded Grey T-Shirt,595.6521739130435
REEBOK,584,55% off,Printed Men Round or Crew Black T-Shirt,1297.7777777777778
Duke,239,40% off,Printed Men Round Neck Grey T-Shirt,398.3333333333333
EG,299,62% off,Color block Men Round or Crew Red T-Shirt,786.8421052631579
Helmont,255,74% off,Solid Men Hooded Maroon T-Shirt,980.7692307692307
MoochSingh,257,74% off,Printed Men & Women Round Neck Black T-Shirt,988.4615384615385
Duke,239,40% off,Printed Men Round Neck Grey T-Shirt,398.3333333333333
Black Collection,463,57% off,Solid Men Turtle Neck Black T-Shirt,1076.7441860465117
Duke,597,40% off,Striped Men Polo Neck Pink T-Shirt,995.0
UZEE,247,75% off,Printed Men Round Neck Blue T-Shirt,988.0
United Colors of Benetton,649,27% off,"Printed Men Round Neck White, Blue T-Shirt",889.0410958904109
Fabstone Collection,274,60% off,Solid Men Hooded Black T-Shirt,685.0
Canis,195,72% off,"Typography Men Round or Crew White, Blue, Green T-Shirt",696.4285714285714
HARBORNBAY,499,54% off,Solid Men Polo Neck Green T-Shirt,1084.7826086956522
Highlander,328,53% off,"Printed Men Round or Crew Black, Grey T-Shirt",697.8723404255319
Elepants,260,78% off,"Color Block Men Round Neck Grey, Black T-Shirt",1181.8181818181818
Tripr,305,66% off,Printed Men Round Neck Black T-Shirt,897.0588235294117
Katso,246,62% off,FabTag - Katso Solid Men Hooded Black T-Shirt,647.3684210526316
Duke,796,20% off,Printed Men Round Neck Multicolor T-Shirt,995.0
Maniac,343,66% off,"Graphic Print Men Round or Crew Black, Grey T-Shirt",1008.8235294117648
UZEE,247,75% off,Solid Men Round or Crew Black T-Shirt,988.0
Duke,796,20% off,Printed Men Round Neck Multicolor T-Shirt,995.0
Aelomart,424,71% off,"Color Block Men Round Neck Maroon, White T-Shirt",1462.0689655172414
Tripr,314,65% off,Solid Men Hooded Black T-Shirt,897.1428571428571
COBIO MAN,299,70% off,Graphic Print Men Round Neck Yellow T-Shirt,996.6666666666666
Helmont,233,76% off,"Striped Men Hooded Neck Grey, Black T-Shirt",970.8333333333334
U.S. Polo Assn,979,30% off,Solid Men Polo Neck Yellow T-Shirt,1398.5714285714287
UZEE,247,75% off,Printed Men Round Neck Red T-Shirt,988.0
Young Trendz,299,62% off,Printed Men Round Neck Orange T-Shirt,786.8421052631579
Concepts,190,52% off,Solid Men Polo Neck Black T-Shirt,395.8333333333333
Try This,399,60% off,"Color block Men Round or Crew Blue, White T-Shirt",997.5
Metronaut,399,60% off,Solid Men Polo Neck Black T-Shirt,997.5
Duke,597,40% off,Striped Men Polo Neck Pink T-Shirt,995.0
U.S. Polo Assn,979,30% off,Solid Men Polo Neck Yellow T-Shirt,1398.5714285714287
Converse,494,45% off,Printed Men Round Neck Dark Blue T-Shirt,898.1818181818181
Tees Collection,349,72% off,Solid Men Hooded Red T-Shirt,1246.4285714285713
Helmont,232,76% off,"Striped Men Hooded Neck Black, Red T-Shirt",966.6666666666666
FIFA,239,60% off,Graphic Print Men Round Neck Green T-Shirt,597.5
Metronaut,314,65% off,Solid Men Round Neck Black T-Shirt,897.1428571428571
Fabstone Collection,248,58% off,"Solid, Color block Men Round or Crew Maroon, Black T-Sh...",590.4761904761905
UZEE,262,73% off,Color Block Men Round Neck Dark Blue T-Shirt,970.3703703703703
NB NICKY BOY,269,75% off,Printed Men Round Neck Black T-Shirt,1076.0
